issue_id,impact,description,help,url
html-lang-valid,null,"Ensures the lang attribute of the <html> element has a valid value","<html> element must have a valid value for the lang attribute",https://dequeuniversity.com/rules/axe/4.9/html-lang-valid?application=playwright
image-alt,null,"Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text",https://dequeuniversity.com/rules/axe/4.9/image-alt?application=playwright
image-redundant-alt,null,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text",https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=playwright
landmark-banner-is-top-level,null,"Ensures the banner landmark is at top level","Banner landmark should not be contained in another landmark",https://dequeuniversity.com/rules/axe/4.9/landmark-banner-is-top-level?application=playwright
landmark-contentinfo-is-top-level,null,"Ensures the contentinfo landmark is at top level","Contentinfo landmark should not be contained in another landmark",https://dequeuniversity.com/rules/axe/4.9/landmark-contentinfo-is-top-level?application=playwright
landmark-no-duplicate-banner,null,"Ensures the document has at most one banner landmark","Document should not have more than one banner landmark",https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-banner?application=playwright
landmark-no-duplicate-contentinfo,null,"Ensures the document has at most one contentinfo landmark","Document should not have more than one contentinfo landmark",https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-contentinfo?application=playwright
link-in-text-block,null,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color",https://dequeuniversity.com/rules/axe/4.9/link-in-text-block?application=playwright
list,null,"Ensures that lists are structured correctly","<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.9/list?application=playwright
listitem,null,"Ensures <li> elements are used semantically","<li> elements must be contained in a <ul> or <ol>",https://dequeuniversity.com/rules/axe/4.9/listitem?application=playwright
meta-viewport-large,null,"Ensures <meta name="viewport"> can scale a significant amount","Users should be able to zoom and scale the text up to 500%",https://dequeuniversity.com/rules/axe/4.9/meta-viewport-large?application=playwright
meta-viewport,null,"Ensures <meta name="viewport"> does not disable text scaling and zooming","Zooming and scaling must not be disabled",https://dequeuniversity.com/rules/axe/4.9/meta-viewport?application=playwright
nested-interactive,null,"Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies","Interactive controls must not be nested",https://dequeuniversity.com/rules/axe/4.9/nested-interactive?application=playwright
page-has-heading-one,null,"Ensure that the page, or at least one of its frames contains a level-one heading","Page should contain a level-one heading",https://dequeuniversity.com/rules/axe/4.9/page-has-heading-one?application=playwright
presentation-role-conflict,null,"Elements marked as presentational should not have global ARIA or tabindex to ensure all screen readers ignore them","Ensure elements marked as presentational are consistently ignored",https://dequeuniversity.com/rules/axe/4.9/presentation-role-conflict?application=playwright
scrollable-region-focusable,null,"Ensure elements that have scrollable content are accessible by keyboard","Scrollable region must have keyboard access",https://dequeuniversity.com/rules/axe/4.9/scrollable-region-focusable?application=playwright
table-duplicate-name,null,"Ensure the <caption> element does not contain the same text as the summary attribute","tables should not have the same summary and caption",https://dequeuniversity.com/rules/axe/4.9/table-duplicate-name?application=playwright
td-headers-attr,null,"Ensure that each cell in a table that uses the headers attribute refers only to other cells in that table","Table cells that use the headers attribute must only refer to cells in the same table",https://dequeuniversity.com/rules/axe/4.9/td-headers-attr?application=playwright
th-has-data-cells,null,"Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe","Table headers in a data table must refer to data cells",https://dequeuniversity.com/rules/axe/4.9/th-has-data-cells?application=playwright
valid-lang,null,"Ensures lang attributes have valid values","lang attribute must have a valid value",https://dequeuniversity.com/rules/axe/4.9/valid-lang?application=playwright
label-title-only,serious,"Ensures that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes","Form elements should have a visible label",https://dequeuniversity.com/rules/axe/4.9/label-title-only?application=playwright
button-name,null,"Ensures buttons have discernible text","Buttons must have discernible text",https://dequeuniversity.com/rules/axe/4.9/button-name?application=playwright
form-field-multiple-labels,null,"Ensures form field does not have multiple label elements","Form field must not have multiple label elements",https://dequeuniversity.com/rules/axe/4.9/form-field-multiple-labels?application=playwright
input-button-name,null,"Ensures input buttons have discernible text","Input buttons must have discernible text",https://dequeuniversity.com/rules/axe/4.9/input-button-name?application=playwright
label,null,"Ensures every form element has a label","Form elements must have labels",https://dequeuniversity.com/rules/axe/4.9/label?application=playwright
aria-hidden-focus,null,"Ensures aria-hidden elements are not focusable nor contain focusable elements","ARIA hidden element must not be focusable or contain focusable elements",https://dequeuniversity.com/rules/axe/4.9/aria-hidden-focus?application=playwright
frame-tested,null,"Ensures <iframe> and <frame> elements contain the axe-core script","Frames should be tested with axe-core",https://dequeuniversity.com/rules/axe/4.9/frame-tested?application=playwright
frame-title-unique,null,"Ensures <iframe> and <frame> elements contain a unique title attribute","Frames must have a unique title attribute",https://dequeuniversity.com/rules/axe/4.9/frame-title-unique?application=playwright
frame-title,null,"Ensures <iframe> and <frame> elements have an accessible name","Frames must have an accessible name",https://dequeuniversity.com/rules/axe/4.9/frame-title?application=playwright
accesskeys,serious,"Ensures every accesskey attribute value is unique","accesskey attribute value should be unique",https://dequeuniversity.com/rules/axe/4.9/accesskeys?application=playwright
empty-table-header,minor,"Ensures table headers have discernible text","Table header text should not be empty",https://dequeuniversity.com/rules/axe/4.9/empty-table-header?application=playwright
select-name,critical,"Ensures select element has an accessible name","Select element must have an accessible name",https://dequeuniversity.com/rules/axe/4.9/select-name?application=playwright
aria-input-field-name,serious,"Ensures every ARIA input field has an accessible name","ARIA input fields must have an accessible name",https://dequeuniversity.com/rules/axe/4.9/aria-input-field-name?application=playwright
autocomplete-valid,null,"Ensure the autocomplete attribute is correct and suitable for the form field","autocomplete attribute must be used correctly",https://dequeuniversity.com/rules/axe/4.9/autocomplete-valid?application=playwright
tabindex,null,"Ensures tabindex attribute values are not greater than 0","Elements should not have tabindex greater than zero",https://dequeuniversity.com/rules/axe/4.9/tabindex?application=playwright
definition-list,null,"Ensures <dl> elements are structured correctly","<dl> elements must only directly contain properly-ordered <dt> and <dd> groups, <script>, <template> or <div> elements",https://dequeuniversity.com/rules/axe/4.9/definition-list?application=playwright
dlitem,null,"Ensures <dt> and <dd> elements are contained by a <dl>","<dt> and <dd> elements must be contained by a <dl>",https://dequeuniversity.com/rules/axe/4.9/dlitem?application=playwright
landmark-main-is-top-level,null,"Ensures the main landmark is at top level","Main landmark should not be contained in another landmark",https://dequeuniversity.com/rules/axe/4.9/landmark-main-is-top-level?application=playwright
landmark-no-duplicate-main,null,"Ensures the document has at most one main landmark","Document should not have more than one main landmark",https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-main?application=playwright
aria-required-children,null,"Ensures elements with an ARIA role that require child roles contain them","Certain ARIA roles must contain particular children",https://dequeuniversity.com/rules/axe/4.9/aria-required-children?application=playwright
aria-required-parent,null,"Ensures elements with an ARIA role that require parent roles are contained by them","Certain ARIA roles must be contained by particular parents",https://dequeuniversity.com/rules/axe/4.9/aria-required-parent?application=playwright
html-xml-lang-mismatch,null,"Ensure that HTML elements with both valid lang and xml:lang attributes agree on the base language of the page","HTML elements with lang and xml:lang must have the same base language",https://dequeuniversity.com/rules/axe/4.9/html-xml-lang-mismatch?application=playwright
aria-command-name,null,"Ensures every ARIA button, link and menuitem has an accessible name","ARIA commands must have an accessible name",https://dequeuniversity.com/rules/axe/4.9/aria-command-name?application=playwright
role-img-alt,null,"Ensures [role="img"] elements have alternate text","[role="img"] elements must have an alternative text",https://dequeuniversity.com/rules/axe/4.9/role-img-alt?application=playwright
landmark-complementary-is-top-level,moderate,"Ensures the complementary landmark or aside is at top level","Aside should not be contained in another landmark",https://dequeuniversity.com/rules/axe/4.9/landmark-complementary-is-top-level?application=playwright
marquee,serious,"Ensures <marquee> elements are not used","<marquee> elements are deprecated and must not be used",https://dequeuniversity.com/rules/axe/4.9/marquee?application=playwright
aria-dialog-name,serious,"Ensures every ARIA dialog and alertdialog node has an accessible name","ARIA dialog and alertdialog nodes should have an accessible name",https://dequeuniversity.com/rules/axe/4.9/aria-dialog-name?application=playwright
area-alt,critical,"Ensures <area> elements of image maps have alternate text","Active <area> elements must have alternate text",https://dequeuniversity.com/rules/axe/4.9/area-alt?application=playwright
skip-link,moderate,"Ensure all skip links have a focusable target","The skip-link target should exist and be focusable",https://dequeuniversity.com/rules/axe/4.9/skip-link?application=playwright
input-image-alt,null,"Ensures <input type="image"> elements have alternate text","Image buttons must have alternate text",https://dequeuniversity.com/rules/axe/4.9/input-image-alt?application=playwright
svg-img-alt,null,"Ensures <svg> elements with an img, graphics-document or graphics-symbol role have an accessible text","<svg> elements with an img role must have an alternative text",https://dequeuniversity.com/rules/axe/4.9/svg-img-alt?application=playwright
scope-attr-valid,null,"Ensures the scope attribute is used correctly on tables","scope attribute should be used correctly",https://dequeuniversity.com/rules/axe/4.9/scope-attr-valid?application=playwright
aria-progressbar-name,serious,"Ensures every ARIA progressbar node has an accessible name","ARIA progressbar nodes must have an accessible name",https://dequeuniversity.com/rules/axe/4.9/aria-progressbar-name?application=playwright
aria-tooltip-name,null,"Ensures every ARIA tooltip node has an accessible name","ARIA tooltip nodes must have an accessible name",https://dequeuniversity.com/rules/axe/4.9/aria-tooltip-name?application=playwright
frame-focusable-content,null,"Ensures <frame> and <iframe> elements with focusable content do not have tabindex=-1","Frames with focusable content must not have tabindex=-1",https://dequeuniversity.com/rules/axe/4.9/frame-focusable-content?application=playwright
aria-treeitem-name,null,"Ensures every ARIA treeitem node has an accessible name","ARIA treeitem nodes should have an accessible name",https://dequeuniversity.com/rules/axe/4.9/aria-treeitem-name?application=playwright
meta-refresh,null,"Ensures <meta http-equiv="refresh"> is not used for delayed refresh","Delayed refresh under 20 hours must not be used",https://dequeuniversity.com/rules/axe/4.9/meta-refresh?application=playwright
aria-toggle-field-name,null,"Ensures every ARIA toggle field has an accessible name","ARIA toggle fields must have an accessible name",https://dequeuniversity.com/rules/axe/4.9/aria-toggle-field-name?application=playwright
object-alt,serious,"Ensures <object> elements have alternate text","<object> elements must have alternate text",https://dequeuniversity.com/rules/axe/4.9/object-alt?application=playwright
no-autoplay-audio,null,"Ensures <video> or <audio> elements do not autoplay audio for more than 3 seconds without a control mechanism to stop or mute the audio","<video> or <audio> elements must not play automatically",https://dequeuniversity.com/rules/axe/4.9/no-autoplay-audio?application=playwright
blink,serious,"Ensures <blink> elements are not used","<blink> elements are deprecated and must not be used",https://dequeuniversity.com/rules/axe/4.9/blink?application=playwright
video-caption,null,"Ensures <video> elements have captions","<video> elements must have captions",https://dequeuniversity.com/rules/axe/4.9/video-caption?application=playwright
aria-text,null,"Ensures role="text" is used on elements with no focusable descendants",""role=text" should have no focusable descendants",https://dequeuniversity.com/rules/axe/4.9/aria-text?application=playwright
